time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001064,-0.0925,-0.0613,-0.1929,0.223
0.002266,0.0297,-0.1580,-0.1548,0.223
0.007212,0.2110,-0.1639,-0.1316,0.298
0.010801,0.3852,-0.0974,-0.1278,0.417
0.015978,0.5132,0.0381,-0.1197,0.528
0.021259,0.5095,0.1288,-0.1612,0.550
0.025494,0.4590,0.1438,-0.1180,0.495
0.030165,0.3703,0.1250,-0.0204,0.391
0.035396,0.2655,0.0893,-0.3210,0.426
0.040355,0.2255,-0.0150,0.1130,0.253
0.044940,0.2490,-0.0087,0.1697,0.301
0.051968,0.1407,0.0522,0.1382,0.204
0.054915,0.1076,0.1030,0.1307,0.198
0.060077,0.1133,0.0993,0.1631,0.222
0.064668,0.1293,0.0794,0.1526,0.215
0.071409,0.0972,0.0317,0.1258,0.162
0.074798,0.0349,-0.0576,0.0925,0.114
0.079505,0.0809,-0.0697,-0.1637,0.195
0.088350,0.0421,-0.0695,-0.3494,0.359
0.089871,-0.0330,-0.0966,-0.5370,0.547
0.094605,-0.0532,-0.0852,-0.6838,0.691
0.101673,-0.1116,-0.1417,-0.8377,0.857
0.104852,-0.2435,-0.2836,-0.9517,1.022
0.112534,-0.4670,-0.5965,-0.9394,1.207
0.114050,-0.3971,-0.4794,-0.9512,1.137
0.119273,-0.2742,-0.2547,-0.9256,0.998
0.124387,0.1410,-0.0257,-0.9149,0.926
0.129067,0.3714,0.2524,-0.6477,0.788
0.135153,0.3059,0.3241,-0.5054,0.674
0.139059,0.4329,0.3461,-0.3727,0.668
0.143816,0.5069,0.2739,-0.2681,0.635
0.151918,0.5024,0.1323,-0.2880,0.594
0.153902,0.4609,-0.0336,-0.2752,0.538
0.159000,0.3855,-0.1286,-0.3177,0.516
0.164112,0.2411,-0.1628,-0.3488,0.454
0.168724,0.4030,-0.1306,0.2583,0.496
0.173604,0.9863,0.0267,1.4984,1.794
0.178364,0.9549,-0.0989,1.2820,1.602
0.188024,0.9638,-0.1494,1.1576,1.514
0.188967,1.0365,-0.1259,1.1664,1.565
0.193345,1.0638,-0.1444,1.1527,1.575
0.198124,1.0553,-0.1566,1.0481,1.496
0.203533,1.0038,-0.1096,0.8866,1.344
0.209224,0.9516,-0.0435,0.6827,1.172
0.213532,0.8532,-0.0384,0.3754,0.933
0.217893,0.7632,-0.0477,0.0744,0.768
0.223649,0.7377,-0.0680,-0.2230,0.774
0.230667,0.6877,-0.1224,-0.5149,0.868
0.234585,0.6014,-0.1882,-0.7801,1.003
0.238135,0.5676,-0.2085,-0.9315,1.111
0.242648,0.5366,-0.1928,-0.9517,1.109
0.247557,0.5201,-0.1731,-0.9129,1.065
0.252653,0.4871,-0.2346,-0.9058,1.055
0.257606,0.4491,-0.2681,-0.8588,1.006
0.262326,0.4695,-0.3074,-0.7365,0.926
0.269367,0.5450,-0.3055,-0.5160,0.810
0.272190,0.5472,-0.3178,-0.3687,0.732
0.276988,0.6104,-0.3280,-0.2013,0.722
0.289620,0.7730,-0.3462,0.0193,0.847
0.290449,1.0448,-0.3539,0.2192,1.125
0.291718,1.2865,-0.3512,0.3464,1.378
0.296657,1.3933,-0.3669,0.3944,1.494
0.302678,1.4601,-0.3846,0.3782,1.557
0.307084,1.4996,-0.4017,0.2438,1.572
0.311624,1.5447,-0.3377,-0.0004,1.581
0.319554,1.6063,-0.2025,-0.2752,1.642
0.321853,1.6168,-0.0747,-0.5992,1.726
0.326692,1.4388,-0.1080,-1.0409,1.779
0.336609,1.7667,-1.4663,-1.9430,3.008
0.338221,1.3217,-1.2782,-1.4129,2.319
0.341520,0.8679,-0.7642,-1.3433,1.772
0.346287,0.8882,-0.7133,-1.6202,1.981
