time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001507,-0.0881,-0.0207,-0.1986,0.218
0.006669,-0.1401,-0.0458,-0.0560,0.158
0.008916,-0.1783,-0.0801,0.0740,0.209
0.012994,-0.1735,-0.0876,0.2814,0.342
0.020522,-0.1232,-0.1046,0.3873,0.420
0.024425,-0.0778,-0.1072,0.3590,0.383
0.027815,-0.0254,-0.0698,0.2594,0.270
0.032482,0.0339,-0.0376,0.1794,0.186
0.038390,0.0909,0.0179,0.1117,0.145
0.042624,0.1482,0.0252,0.0440,0.157
0.047597,0.1894,-0.0008,-0.0377,0.193
0.053067,0.1786,-0.0811,-0.0786,0.211
0.057836,0.1875,-0.0563,-0.1122,0.226
0.062586,0.1873,0.0230,-0.1506,0.241
0.069545,0.1898,0.0279,-0.2623,0.325
0.072266,0.1998,0.0069,-0.3803,0.430
0.077407,0.2056,0.0220,-0.3573,0.413
0.082221,0.1313,0.0015,-0.2894,0.318
0.087309,-0.0105,0.0266,-0.2104,0.212
0.092067,-0.1083,-0.0005,-0.1319,0.171
0.097171,-0.1841,-0.0509,-0.0419,0.196
0.103852,-0.2242,-0.0318,0.0169,0.227
0.106966,-0.2338,0.0418,0.0849,0.252
0.111898,-0.1987,0.1097,0.1215,0.257
0.122577,-0.2047,0.1032,0.0794,0.243
0.123263,-0.2680,0.0750,0.0495,0.283
0.127335,-0.2910,0.0445,0.0247,0.295
0.131415,-0.2956,0.0259,0.0312,0.298
0.136613,-0.3102,0.0075,0.0615,0.316
0.141625,-0.3299,-0.0226,0.0467,0.334
0.146685,-0.3498,-0.0571,0.0085,0.355
0.153235,-0.3510,-0.0106,-0.0317,0.353
0.156277,-0.2884,0.0447,0.0117,0.292
0.161885,-0.2766,0.0351,0.0973,0.295
0.169230,-0.1422,0.0467,0.0518,0.158
0.171017,-0.0451,0.1340,0.0993,0.173
0.176454,0.0672,0.1844,0.1391,0.241
0.180929,0.1757,0.1793,0.2048,0.324
0.188542,0.2570,0.2023,0.3314,0.466
0.190896,0.2880,0.1536,0.4281,0.538
0.196336,0.2882,0.1073,0.3503,0.466
0.202310,0.2439,0.0708,0.3179,0.407
0.205635,0.1986,0.0558,0.2640,0.335
0.210704,0.1736,0.0268,0.1887,0.258
0.215537,0.1284,0.0289,0.1375,0.190
0.222320,0.0751,0.0002,0.1197,0.141
0.225710,0.0140,-0.0091,0.1348,0.136
0.230415,-0.0572,-0.0159,0.1162,0.130
0.238915,-0.0769,-0.0650,0.1046,0.145
0.240379,-0.0767,-0.0945,0.0764,0.144
0.246047,0.0326,-0.0475,-0.0892,0.106
0.252323,0.2013,0.0469,-0.3785,0.431
0.255073,0.1604,0.1125,-0.6550,0.684
0.260024,0.0907,0.2043,-0.6103,0.650
0.264943,0.0496,0.2629,-0.6388,0.693
0.270465,0.0226,0.2293,-0.6639,0.703
0.274904,-0.0213,0.0993,-0.6477,0.656
0.279687,-0.0532,0.0043,-0.5361,0.539
0.285735,-0.0804,-0.0134,-0.4156,0.423
0.290326,-0.1314,-0.0473,-0.3907,0.415
0.294745,-0.1823,-0.0619,-0.2543,0.319
0.304105,-0.1970,-0.1142,-0.1522,0.274
0.305610,-0.1847,-0.1469,-0.0393,0.239
0.309382,-0.1504,-0.1840,0.0416,0.241
0.314703,-0.0706,-0.1399,0.1335,0.206
0.326810,-0.0075,-0.1035,0.2029,0.228
0.328338,0.0792,-0.0394,0.3212,0.333
0.329258,0.1609,0.0140,0.3856,0.418
0.339397,0.2326,0.0615,0.3824,0.452
0.339902,0.2518,0.0581,0.3621,0.445
0.343934,0.2499,0.0447,0.3723,0.451
0.352779,0.2510,0.0428,0.3557,0.437
0.353889,0.2023,0.0144,0.2226,0.301
0.358626,0.1801,0.0168,0.1237,0.219
0.363524,0.2220,0.0498,0.0991,0.248
0.368469,0.2036,0.0539,0.0155,0.211
0.373796,0.1585,0.0553,-0.0863,0.189
0.379131,0.1179,0.0019,-0.1562,0.196
0.388314,0.0818,-0.0107,-0.2207,0.236
0.389169,0.0645,0.0172,-0.2154,0.226
0.394289,0.0184,-0.0070,-0.2455,0.246
0.401593,0.0011,-0.0353,-0.3010,0.303
0.403140,-0.0139,-0.0081,-0.3889,0.389
0.408249,-0.0171,0.0220,-0.3449,0.346
0.413001,-0.0538,0.0333,-0.3506,0.356
0.421114,-0.0907,0.0332,-0.3867,0.399
0.422985,-0.1518,0.0501,-0.3577,0.392
0.427884,-0.1655,0.0436,-0.3165,0.360
0.434904,-0.1652,0.0209,-0.2398,0.292
0.437897,-0.1744,0.0225,-0.1610,0.238
0.443042,-0.1811,-0.0136,-0.0375,0.185
0.447830,-0.1399,-0.0255,0.0659,0.157
0.452729,-0.0917,-0.0256,0.1706,0.195
0.458072,-0.0361,-0.0070,0.2645,0.267
0.462381,0.0218,0.0016,0.2860,0.287
0.471528,0.0700,0.0171,0.2666,0.276
0.472433,0.1083,0.0746,0.2376,0.272
0.479703,0.1368,0.1266,0.2324,0.298
0.484389,0.1698,0.1184,0.2387,0.316
0.487233,0.2169,0.1026,0.2400,0.339
0.492411,0.2230,0.0937,0.1935,0.310
0.497259,0.1690,0.0795,0.1496,0.239
0.502102,0.1101,0.0244,0.1487,0.187
0.506941,0.0513,-0.0428,0.0810,0.105
0.512404,-0.0027,-0.0957,0.0184,0.097
0.521833,-0.0398,-0.1366,-0.0557,0.153
0.522850,-0.0911,-0.1558,-0.0792,0.197
0.526715,-0.1396,-0.1557,-0.1476,0.256
0.534821,-0.1805,-0.1745,-0.2533,0.357
0.537607,-0.2210,-0.1688,-0.3579,0.453
0.542608,-0.2659,-0.1626,-0.4421,0.541
0.547247,-0.2462,-0.1224,-0.5157,0.584
0.551595,-0.1745,-0.1342,-0.4908,0.538
0.556700,-0.0842,-0.0904,-0.4562,0.473
0.561169,-0.0159,-0.0585,-0.3622,0.367
