time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000914,-0.8229,-0.4103,-2.1363,2.326
0.002410,-0.7090,-0.2647,-1.6550,1.820
0.011503,-0.2172,-0.0255,-1.1006,1.122
0.012724,-0.0508,0.1462,-0.7346,0.751
0.015519,-0.0191,0.3346,-0.4933,0.596
0.026759,0.0157,0.3718,-0.3233,0.493
0.027828,0.0014,0.2831,-0.1433,0.317
0.030858,-0.0767,0.1030,-0.1855,0.226
0.042581,-0.1347,-0.0558,-0.3152,0.347
0.043856,-0.2269,-0.1482,-0.3797,0.466
0.045046,-0.3501,-0.2147,-0.4081,0.579
0.060360,-0.4468,-0.2250,-0.3938,0.637
0.061850,-0.4978,-0.2268,-0.3348,0.641
0.062948,-0.4742,-0.2464,-0.3050,0.615
0.065042,-0.3829,-0.2364,-0.2307,0.506
0.076812,-0.3261,-0.2375,-0.2046,0.452
0.078225,-0.3317,-0.2711,-0.2383,0.490
0.079872,-0.2831,-0.2708,-0.2717,0.477
0.093398,-0.2524,-0.2677,-0.3358,0.498
0.094731,-0.3593,-0.3355,-0.5109,0.709
0.095580,-0.4444,-0.3665,-0.5873,0.823
0.109944,-0.1195,-0.2621,-0.4896,0.568
0.111283,-0.2292,-0.2213,-0.4757,0.573
0.112125,-0.3788,-0.2507,-0.5900,0.745
0.114613,-0.2525,-0.2241,-0.7150,0.791
0.133778,-0.1285,-0.1520,-0.6843,0.713
0.135229,-0.1075,-0.1421,-0.6821,0.705
0.136037,-0.0446,-0.1155,-0.8103,0.820
0.136959,0.0474,-0.0278,-0.8895,0.891
0.142402,0.1325,-0.0031,-0.9486,0.958
0.144223,0.2565,0.0494,-1.0709,1.102
0.149035,0.3689,0.1579,-1.1157,1.186
0.159443,0.4722,0.1796,-1.1384,1.245
0.160217,0.4884,0.1774,-1.1414,1.254
0.163952,0.5668,0.1168,-1.2605,1.387
0.177032,0.6249,0.0467,-1.1574,1.316
0.177930,0.6053,0.0579,-1.0413,1.206
0.178939,0.6950,0.0172,-0.9640,1.189
0.192580,1.0072,-0.1071,-1.0491,1.458
0.193905,1.4839,-0.3947,-1.0838,1.879
0.194944,1.4449,-0.3563,-0.5932,1.602
0.198108,1.9437,-0.2711,-0.7037,2.085
0.209689,2.3673,-0.2884,-0.5790,2.454
0.210919,2.3265,-0.4053,-0.2946,2.380
0.213091,2.4715,-0.2807,-0.5819,2.555
0.226843,2.5973,-0.0279,-0.6996,2.690
0.228039,2.4687,0.1017,-0.4729,2.516
0.228919,2.3582,0.0421,-0.3704,2.387
0.243174,2.2336,-0.0608,-0.3314,2.259
0.244422,2.1172,-0.1072,-0.3389,2.147
0.245442,2.0899,-0.1622,-0.3779,2.130
0.247866,2.1135,-0.1814,-0.3622,2.152
0.259765,2.2457,-0.1753,-0.3445,2.279
0.260847,2.3946,-0.1398,-0.3221,2.420
0.262450,2.5549,-0.1399,-0.3141,2.578
0.276517,2.7792,-0.1786,-0.2892,2.800
0.277743,3.0066,-0.2541,-0.3903,3.042
0.278895,3.2208,-0.3572,-0.5450,3.286
0.293843,3.3479,-0.3746,-0.8219,3.468
0.295281,3.3520,-0.3263,-1.2010,3.576
0.296095,3.2302,-0.2083,-1.5364,3.583
0.297033,2.8512,-0.0309,-1.5119,3.227
0.310019,2.6537,0.1849,-1.8079,3.216
0.311446,3.2299,0.9307,-2.3203,4.084
0.311927,3.3405,1.4040,-1.7888,4.041
0.325731,3.3855,1.4341,-1.7795,4.085
0.326458,2.9853,1.1882,-0.7736,3.305
0.327047,2.7671,1.2371,0.4452,3.064
0.331672,3.0975,1.6091,-2.5443,4.319
0.339776,3.2393,1.2350,-2.9139,4.529
0.341266,3.1249,0.8322,-1.9133,3.757
0.346351,3.0770,0.4174,-2.4955,3.984
0.357963,3.1671,0.1208,-3.1479,4.467
0.359019,3.2644,0.0981,-3.6173,4.874
0.361139,3.7661,0.4147,-4.8115,6.124
0.376275,4.0225,0.4224,-5.0372,6.460
0.377357,3.7639,0.0497,-5.2353,6.448
0.378179,3.5993,-0.2179,-5.6620,6.713
0.380884,3.5559,-0.3608,-5.8245,6.834
0.392164,3.8006,-0.2070,-6.0254,7.127
0.393395,4.5462,0.3238,-6.2131,7.706
0.395925,5.0605,0.4490,-6.0516,7.901
0.409168,5.0560,-0.0658,-5.1377,7.209
0.410496,4.6600,-1.4287,-4.1545,6.404
0.411652,4.1010,-2.9742,-3.0174,5.897
0.425607,3.3619,-4.1009,-2.5124,5.868
0.427097,2.5535,-4.2528,-2.9776,5.786
0.428170,1.8726,-4.1502,-4.7356,6.569
0.430461,1.4848,-3.7486,-5.5957,6.897
0.442224,1.6893,-3.5919,-5.7407,6.979
0.443802,2.4206,-3.8241,-4.7493,6.560
0.445263,2.6655,-4.2123,-3.5588,6.125
0.460927,2.2306,-4.7364,-3.9179,6.539
0.462214,1.8697,-5.0889,-5.0570,7.414
0.463437,1.8792,-5.3226,-5.7708,8.072
0.476732,1.7867,-5.9922,-6.5007,9.020
0.478202,2.0605,-5.6446,-7.0546,9.267
0.479403,2.3210,-5.0508,-7.3609,9.224
0.480395,2.1441,-5.0633,-8.1119,9.800
0.491021,1.7997,-5.5053,-8.8411,10.569
0.492822,1.4271,-5.9033,-9.3638,11.161
0.494840,1.0473,-6.3619,-10.0685,11.956
0.508058,0.5754,-6.7923,-10.8362,12.802
0.509631,0.1961,-7.0783,-11.3693,13.394
0.510789,0.1232,-7.3239,-11.4860,13.623
0.515227,0.4104,-7.6188,-10.9268,13.327
0.525648,0.8906,-8.0356,-9.7993,12.704
0.527265,1.1414,-8.4731,-8.4484,12.020
0.529238,1.1400,-8.7181,-7.1233,11.316
0.550225,1.1152,-8.9745,-6.1506,10.937
