time,wx (rad/s),wy (rad/s),wz (rad/s)
0.002399,-0.28,0.26,0.01
0.003386,-0.24,0.22,0.00
0.003831,-0.21,0.19,-0.01
0.004223,-0.18,0.16,-0.02
0.004832,-0.16,0.14,-0.02
0.008345,-0.14,0.12,-0.03
0.008752,-0.12,0.10,-0.04
0.013767,-0.12,0.10,-0.05
0.014077,-0.12,0.09,-0.05
0.016284,-0.12,0.09,-0.05
0.018701,-0.13,0.09,-0.04
0.021554,-0.14,0.10,-0.03
0.023619,-0.16,0.11,-0.02
0.026063,-0.17,0.13,-0.01
0.030294,-0.20,0.15,0.01
0.030983,-0.22,0.18,0.02
0.033982,-0.25,0.21,0.04
0.035916,-0.28,0.25,0.05
0.038265,-0.31,0.28,0.07
0.040810,-0.35,0.32,0.08
0.043205,-0.38,0.35,0.09
0.045800,-0.42,0.39,0.11
0.048279,-0.45,0.42,0.12
0.050658,-0.47,0.46,0.13
0.053757,-0.50,0.49,0.14
0.056114,-0.53,0.52,0.15
0.058277,-0.55,0.54,0.16
0.060724,-0.57,0.56,0.16
0.063318,-0.58,0.56,0.17
0.066602,-0.60,0.56,0.16
0.068015,-0.61,0.56,0.16
0.070640,-0.62,0.55,0.16
0.073532,-0.63,0.54,0.15
0.075361,-0.63,0.53,0.15
0.078884,-0.63,0.52,0.14
0.080768,-0.63,0.52,0.14
0.083358,-0.62,0.52,0.13
0.085542,-0.61,0.52,0.13
0.087770,-0.60,0.52,0.12
0.090226,-0.59,0.52,0.12
0.093202,-0.57,0.52,0.11
0.095744,-0.56,0.52,0.11
0.097793,-0.54,0.51,0.10
0.100162,-0.52,0.50,0.09
0.102861,-0.51,0.48,0.08
0.105127,-0.50,0.46,0.08
0.107409,-0.49,0.42,0.07
0.109980,-0.49,0.38,0.07
0.112754,-0.49,0.33,0.06
0.114832,-0.49,0.28,0.06
0.117818,-0.50,0.22,0.05
0.119918,-0.52,0.16,0.04
0.122180,-0.54,0.09,0.03
0.124591,-0.55,0.02,0.01
0.130773,-0.57,-0.04,-0.01
0.131238,-0.59,-0.09,-0.02
0.132600,-0.61,-0.12,-0.03
0.134683,-0.61,-0.15,-0.05
0.137092,-0.63,-0.16,-0.06
0.139575,-0.63,-0.17,-0.07
0.142170,-0.64,-0.17,-0.08
0.145556,-0.65,-0.16,-0.09
0.146979,-0.66,-0.14,-0.09
0.149977,-0.67,-0.12,-0.10
0.152684,-0.68,-0.11,-0.11
0.154435,-0.69,-0.10,-0.11
0.157189,-0.70,-0.09,-0.12
0.159580,-0.72,-0.08,-0.12
0.162502,-0.73,-0.08,-0.12
0.164409,-0.74,-0.07,-0.12
0.167335,-0.74,-0.07,-0.11
0.169323,-0.75,-0.06,-0.11
0.172558,-0.75,-0.05,-0.10
0.174097,-0.75,-0.04,-0.09
0.176835,-0.75,-0.02,-0.08
0.179363,-0.75,-0.01,-0.07
0.181672,-0.74,0.01,-0.06
0.184134,-0.74,0.02,-0.05
0.186576,-0.73,0.04,-0.04
0.189020,-0.72,0.06,-0.03
0.192133,-0.71,0.07,-0.03
0.194873,-0.70,0.09,-0.02
0.196688,-0.70,0.10,-0.02
0.199229,-0.68,0.11,-0.02
0.201571,-0.67,0.12,-0.02
0.203857,-0.66,0.13,-0.02
0.206538,-0.64,0.13,-0.02
0.208794,-0.63,0.13,-0.03
0.211817,-0.61,0.13,-0.03
0.213832,-0.60,0.13,-0.04
0.216933,-0.58,0.13,-0.04
0.219420,-0.57,0.13,-0.05
0.222497,-0.55,0.13,-0.06
0.223617,-0.53,0.13,-0.06
0.226936,-0.51,0.14,-0.07
0.233378,-0.48,0.14,-0.08
0.233840,-0.46,0.15,-0.09
0.234395,-0.44,0.15,-0.10
0.237784,-0.42,0.16,-0.10
0.239725,-0.39,0.16,-0.12
0.240795,-0.37,0.17,-0.13
0.243526,-0.35,0.17,-0.14
0.245911,-0.33,0.18,-0.14
0.248259,-0.31,0.19,-0.16
0.251215,-0.28,0.20,-0.16
0.253585,-0.26,0.21,-0.17
0.255721,-0.24,0.22,-0.18
0.258418,-0.22,0.23,-0.19
0.261023,-0.21,0.23,-0.19
0.263089,-0.19,0.23,-0.20
0.265569,-0.17,0.22,-0.20
0.268029,-0.16,0.19,-0.21
0.270958,-0.14,0.17,-0.21
0.273234,-0.12,0.16,-0.22
0.276264,-0.11,0.14,-0.22
0.280982,-0.09,0.12,-0.22
0.281967,-0.08,0.10,-0.21
0.294631,-0.07,0.09,-0.21
0.295268,-0.06,0.08,-0.21
0.295622,-0.05,0.08,-0.20
0.295977,-0.04,0.08,-0.19
0.296298,-0.03,0.08,-0.18
0.296618,-0.03,0.08,-0.17
0.300514,-0.03,0.08,-0.16
0.300940,-0.03,0.07,-0.16
0.302549,-0.03,0.06,-0.15
0.304905,-0.02,0.04,-0.14
0.307405,-0.02,0.02,-0.13
0.310953,-0.02,-0.01,-0.12
0.312437,-0.02,-0.04,-0.11
0.314893,-0.02,-0.06,-0.11
0.317434,-0.02,-0.09,-0.10
0.319905,-0.01,-0.11,-0.08
0.322359,-0.01,-0.14,-0.07
0.324893,-0.01,-0.17,-0.06
0.330107,-0.00,-0.19,-0.05
0.330559,0.00,-0.22,-0.04
0.332155,0.01,-0.25,-0.02
0.334595,0.02,-0.28,-0.01
0.337007,0.03,-0.31,0.00
0.339451,0.05,-0.34,0.02
0.341985,0.06,-0.38,0.03
0.344919,0.08,-0.40,0.04
0.346977,0.10,-0.42,0.05
0.350318,0.12,-0.45,0.05
0.351901,0.15,-0.48,0.05
0.354734,0.18,-0.51,0.06
0.356851,0.21,-0.54,0.06
0.359884,0.25,-0.56,0.06
0.361943,0.27,-0.58,0.07
0.364549,0.30,-0.59,0.08
0.366680,0.34,-0.59,0.11
0.369667,0.36,-0.58,0.14
0.371578,0.39,-0.57,0.18
0.374090,0.42,-0.57,0.23
0.376619,0.44,-0.59,0.29
0.379046,0.45,-0.63,0.35
0.381652,0.48,-0.63,0.41
0.383980,0.50,-0.64,0.48
0.386457,0.53,-0.66,0.56
0.389267,0.56,-0.68,0.65
0.391270,0.59,-0.71,0.73
0.393822,0.62,-0.73,0.83
0.396329,0.65,-0.75,0.91
0.398937,0.68,-0.78,0.99
0.401774,0.71,-0.83,1.07
0.403928,0.74,-0.89,1.13
0.406183,0.76,-0.97,1.20
0.410251,0.78,-1.06,1.25
0.411388,0.81,-1.15,1.29
0.414264,0.82,-1.21,1.34
0.416624,0.84,-1.20,1.38
0.418861,0.86,-1.14,1.40
0.421130,0.88,-1.11,1.41
0.423592,0.89,-1.18,1.41
0.429607,0.89,-1.33,1.39
0.430035,0.87,-1.50,1.34
0.431025,0.84,-1.64,1.28
0.433615,0.81,-1.77,1.20
0.435966,0.78,-1.90,1.11
0.438421,0.75,-2.06,1.02
0.440997,0.72,-2.24,0.95
0.444475,0.69,-2.43,0.88
0.446518,0.68,-2.57,0.82
0.449012,0.67,-2.70,0.77
0.450871,0.65,-2.81,0.73
0.453419,0.65,-2.90,0.71
0.455572,0.65,-3.00,0.70
0.458110,0.64,-3.08,0.70
0.460690,0.65,-3.17,0.71
0.463762,0.65,-3.28,0.73
0.466351,0.64,-3.39,0.76
0.468563,0.64,-3.46,0.80
0.470595,0.62,-3.50,0.84
0.472997,0.60,-3.53,0.88
0.477907,0.57,-3.55,0.92
0.478369,0.53,-3.55,0.94
0.480981,0.47,-3.53,0.96
0.482970,0.40,-3.52,0.98
0.485743,0.32,-3.52,1.00
0.488776,0.23,-3.54,1.02
0.490143,0.12,-3.57,1.05
0.493657,0.01,-3.59,1.09
0.495286,-0.09,-3.61,1.14
0.497858,-0.19,-3.59,1.21
0.500029,-0.29,-3.57,1.29
0.502489,-0.39,-3.56,1.37
0.505150,-0.48,-3.55,1.46
0.507782,-0.57,-3.54,1.53
0.510056,-0.65,-3.53,1.60
0.512420,-0.73,-3.54,1.67
0.515769,-0.79,-3.56,1.74
0.517673,-0.83,-3.57,1.80
