time,wx (rad/s),wy (rad/s),wz (rad/s)
0.001671,0.07,0.03,0.01
0.002394,0.08,0.00,0.01
0.002868,0.09,-0.01,0.00
0.003331,0.11,-0.03,0.00
0.012060,0.12,-0.05,-0.00
0.012606,0.14,-0.06,-0.01
0.012912,0.16,-0.06,-0.01
0.013206,0.17,-0.07,-0.02
0.015985,0.19,-0.07,-0.03
0.017072,0.21,-0.07,-0.03
0.031376,0.23,-0.07,-0.04
0.031820,0.24,-0.07,-0.04
0.032113,0.25,-0.07,-0.05
0.032388,0.26,-0.07,-0.05
0.032615,0.28,-0.08,-0.06
0.032842,0.28,-0.08,-0.06
0.043341,0.29,-0.08,-0.06
0.043844,0.30,-0.09,-0.07
0.044181,0.31,-0.10,-0.06
0.044492,0.31,-0.10,-0.06
0.044811,0.31,-0.11,-0.06
0.046804,0.32,-0.11,-0.06
0.049310,0.32,-0.11,-0.06
0.063232,0.33,-0.10,-0.06
0.063694,0.33,-0.10,-0.06
0.064013,0.34,-0.09,-0.06
0.064344,0.34,-0.07,-0.05
0.064653,0.35,-0.04,-0.05
0.064975,0.35,-0.03,-0.05
0.066441,0.35,-0.01,-0.05
0.075155,0.35,0.01,-0.05
0.075593,0.35,0.02,-0.05
0.075932,0.35,0.04,-0.05
0.076815,0.35,0.04,-0.05
0.079539,0.35,0.05,-0.05
0.081151,0.34,0.06,-0.05
0.083724,0.34,0.06,-0.04
0.094202,0.33,0.06,-0.04
0.094715,0.33,0.07,-0.04
0.095065,0.33,0.07,-0.03
0.095380,0.32,0.06,-0.03
0.096292,0.31,0.06,-0.03
0.099033,0.30,0.05,-0.03
0.111237,0.30,0.04,-0.03
0.111844,0.29,0.03,-0.02
0.112180,0.28,0.02,-0.03
0.112518,0.27,0.01,-0.03
0.112867,0.26,-0.01,-0.03
0.113807,0.25,-0.02,-0.03
0.115851,0.23,-0.04,-0.04
0.128152,0.22,-0.04,-0.05
0.128763,0.21,-0.05,-0.05
0.129098,0.20,-0.05,-0.06
0.129451,0.18,-0.06,-0.06
0.129788,0.17,-0.05,-0.06
0.130771,0.16,-0.05,-0.07
0.133153,0.15,-0.04,-0.07
0.151472,0.13,-0.03,-0.07
0.152910,0.12,-0.02,-0.07
0.153506,0.11,-0.01,-0.07
0.154090,0.09,0.01,-0.07
0.154487,0.08,0.02,-0.07
0.154915,0.07,0.03,-0.07
0.155399,0.05,0.04,-0.07
0.155774,0.04,0.05,-0.07
0.156137,0.03,0.05,-0.06
0.160447,0.03,0.05,-0.06
0.160857,0.01,0.05,-0.05
0.163045,0.00,0.04,-0.04
0.165255,-0.01,0.04,-0.04
0.176402,-0.01,0.04,-0.04
0.176982,-0.02,0.03,-0.03
0.177336,-0.02,0.03,-0.03
0.177678,-0.03,0.02,-0.02
0.178496,-0.04,0.02,-0.02
0.180015,-0.04,0.02,-0.02
0.182832,-0.05,0.01,-0.02
0.194066,-0.05,0.01,-0.02
0.194711,-0.05,0.01,-0.02
0.195054,-0.06,-0.00,-0.02
0.195405,-0.06,-0.01,-0.02
0.195745,-0.06,-0.01,-0.03
0.198256,-0.06,-0.01,-0.03
0.200351,-0.07,-0.01,-0.03
0.211430,-0.07,-0.02,-0.03
0.212006,-0.06,-0.02,-0.04
0.212357,-0.06,-0.01,-0.04
0.212686,-0.06,-0.02,-0.04
0.213027,-0.06,-0.01,-0.04
0.215127,-0.06,-0.01,-0.04
0.229545,-0.05,-0.01,-0.04
0.230298,-0.05,-0.00,-0.04
0.230695,-0.05,-0.00,-0.04
0.231036,-0.04,-0.00,-0.04
0.231370,-0.03,-0.00,-0.04
0.231721,-0.03,-0.01,-0.03
0.232427,-0.03,-0.01,-0.03
0.254451,-0.02,-0.02,-0.03
0.255515,-0.02,-0.02,-0.02
0.255897,-0.01,-0.03,-0.02
0.256634,-0.01,-0.04,-0.01
0.257456,-0.00,-0.05,-0.01
0.257969,0.00,-0.06,-0.01
0.258356,0.01,-0.07,-0.01
0.258729,0.02,-0.07,-0.00
0.259095,0.02,-0.07,-0.01
0.259470,0.03,-0.08,-0.01
0.263076,0.03,-0.08,-0.00
0.263501,0.03,-0.08,-0.01
0.264000,0.03,-0.08,-0.01
0.266676,0.03,-0.08,-0.01
0.275510,0.03,-0.07,-0.01
0.276329,0.03,-0.07,-0.01
0.276742,0.03,-0.07,-0.01
0.277135,0.03,-0.07,-0.01
0.278840,0.02,-0.07,-0.01
0.281565,0.02,-0.08,-0.01
0.293311,0.02,-0.07,-0.01
0.294340,0.01,-0.07,-0.01
0.294793,0.01,-0.07,-0.01
0.295236,0.01,-0.06,-0.02
0.295636,0.00,-0.06,-0.02
0.296501,-0.00,-0.05,-0.01
0.298911,-0.01,-0.05,-0.02
0.309752,-0.01,-0.05,-0.02
0.310730,-0.02,-0.05,-0.02
0.311187,-0.02,-0.05,-0.02
0.311636,-0.02,-0.05,-0.02
0.312066,-0.02,-0.05,-0.02
0.314003,-0.03,-0.05,-0.02
0.317813,-0.03,-0.05,-0.02
0.328169,-0.03,-0.05,-0.02
0.328930,-0.03,-0.04,-0.02
0.329314,-0.03,-0.05,-0.02
0.329689,-0.03,-0.04,-0.03
0.330127,-0.03,-0.04,-0.03
0.330629,-0.03,-0.04,-0.03
0.352042,-0.03,-0.03,-0.03
0.353277,-0.03,-0.04,-0.03
0.353732,-0.03,-0.04,-0.04
0.354240,-0.03,-0.04,-0.04
0.354623,-0.03,-0.04,-0.04
0.355027,-0.02,-0.05,-0.04
0.355399,-0.02,-0.05,-0.04
0.355765,-0.03,-0.05,-0.05
0.356133,-0.02,-0.05,-0.05
0.356499,-0.02,-0.05,-0.06
0.360084,-0.02,-0.05,-0.05
0.360527,-0.02,-0.05,-0.05
0.363116,-0.02,-0.05,-0.05
0.365344,-0.02,-0.04,-0.05
0.375741,-0.01,-0.04,-0.05
0.376507,-0.01,-0.03,-0.05
0.376935,-0.01,-0.03,-0.04
0.377348,-0.01,-0.02,-0.04
0.377756,-0.00,-0.02,-0.04
0.380377,0.00,-0.01,-0.03
0.382678,0.01,0.00,-0.02
0.392434,0.02,0.01,-0.02
0.393241,0.02,0.01,-0.02
0.393637,0.03,0.02,-0.01
0.394127,0.03,0.02,-0.01
0.395347,0.04,0.02,-0.01
0.397465,0.05,0.02,-0.00
0.411382,0.06,0.02,-0.00
0.412097,0.06,0.01,-0.00
0.412517,0.07,0.00,-0.00
0.412912,0.08,-0.00,-0.01
0.413314,0.08,-0.01,-0.01
0.413715,0.09,-0.02,-0.01
0.415886,0.10,-0.03,-0.02
0.427550,0.10,-0.03,-0.02
0.428494,0.11,-0.04,-0.02
0.429000,0.11,-0.05,-0.02
0.429485,0.11,-0.06,-0.02
0.430232,0.11,-0.06,-0.03
0.430662,0.11,-0.07,-0.03
0.432058,0.11,-0.08,-0.03
