time,wx (rad/s),wy (rad/s),wz (rad/s)
0.000985,-0.17,0.18,-0.09
0.001767,-0.16,0.14,-0.09
0.002144,-0.15,0.11,-0.09
0.002479,-0.15,0.09,-0.09
0.002768,-0.15,0.07,-0.08
0.008802,-0.15,0.07,-0.08
0.009272,-0.16,0.06,-0.08
0.009655,-0.16,0.06,-0.07
0.011399,-0.16,0.07,-0.06
0.021429,-0.16,0.08,-0.06
0.021926,-0.16,0.09,-0.06
0.022210,-0.17,0.11,-0.06
0.022507,-0.17,0.14,-0.06
0.023560,-0.18,0.16,-0.05
0.026099,-0.18,0.19,-0.05
0.028785,-0.18,0.22,-0.05
0.038217,-0.19,0.25,-0.05
0.038692,-0.19,0.28,-0.05
0.039045,-0.20,0.30,-0.04
0.039390,-0.20,0.33,-0.04
0.040889,-0.21,0.35,-0.04
0.043204,-0.21,0.37,-0.04
0.045696,-0.21,0.39,-0.04
0.054208,-0.21,0.40,-0.04
0.054695,-0.21,0.42,-0.03
0.055018,-0.20,0.43,-0.04
0.055757,-0.20,0.43,-0.04
0.058544,-0.20,0.44,-0.04
0.060420,-0.20,0.44,-0.04
0.074969,-0.19,0.43,-0.04
0.075358,-0.20,0.43,-0.04
0.075529,-0.19,0.42,-0.04
0.075687,-0.19,0.41,-0.04
0.075839,-0.19,0.40,-0.04
0.075998,-0.18,0.39,-0.04
0.078564,-0.18,0.38,-0.04
0.090390,-0.18,0.37,-0.04
0.090665,-0.17,0.35,-0.04
0.090806,-0.16,0.34,-0.04
0.090937,-0.15,0.32,-0.04
0.091069,-0.14,0.30,-0.05
0.092781,-0.13,0.27,-0.05
0.095022,-0.12,0.25,-0.05
0.107310,-0.11,0.22,-0.06
0.107632,-0.10,0.20,-0.06
0.107869,-0.08,0.17,-0.06
0.108104,-0.07,0.15,-0.07
0.108337,-0.06,0.12,-0.07
0.109916,-0.06,0.10,-0.07
0.112389,-0.05,0.09,-0.07
0.124907,-0.04,0.08,-0.07
0.125370,-0.03,0.06,-0.07
0.125781,-0.02,0.06,-0.07
0.126102,-0.02,0.06,-0.08
0.126427,-0.02,0.06,-0.07
0.127148,-0.01,0.06,-0.07
0.146741,-0.01,0.06,-0.07
0.147276,-0.01,0.06,-0.07
0.147640,-0.01,0.07,-0.08
0.148003,-0.01,0.08,-0.07
0.148340,-0.01,0.09,-0.07
0.148669,-0.01,0.10,-0.07
0.148984,-0.02,0.11,-0.08
0.149305,-0.02,0.12,-0.08
0.149694,-0.03,0.14,-0.08
0.159896,-0.03,0.15,-0.08
0.160347,-0.04,0.16,-0.07
0.160719,-0.05,0.17,-0.07
0.161066,-0.05,0.18,-0.07
0.162033,-0.06,0.18,-0.07
0.174716,-0.07,0.19,-0.06
0.175171,-0.08,0.19,-0.07
0.175501,-0.08,0.19,-0.06
0.175826,-0.09,0.19,-0.06
0.176152,-0.10,0.18,-0.06
0.177484,-0.10,0.18,-0.06
0.179956,-0.09,0.17,-0.06
0.194582,-0.09,0.16,-0.06
0.195066,-0.09,0.14,-0.06
0.195422,-0.09,0.13,-0.06
0.195734,-0.08,0.11,-0.06
0.196049,-0.08,0.10,-0.07
0.196368,-0.07,0.08,-0.07
0.208937,-0.07,0.06,-0.08
0.209398,-0.07,0.05,-0.08
0.209890,-0.06,0.03,-0.08
0.210224,-0.06,0.02,-0.07
0.210578,-0.05,0.02,-0.07
0.210885,-0.05,0.02,-0.07
0.211336,-0.05,0.02,-0.07
0.228840,-0.04,0.02,-0.07
0.229467,-0.04,0.02,-0.07
0.229895,-0.04,0.02,-0.07
0.230257,-0.03,0.02,-0.07
0.230699,-0.04,0.02,-0.07
0.231085,-0.03,0.02,-0.07
0.231475,-0.03,0.02,-0.07
0.231802,-0.02,0.02,-0.06
0.242447,-0.02,0.02,-0.06
0.243024,-0.02,0.02,-0.07
0.243688,-0.02,0.02,-0.07
0.244020,-0.02,0.02,-0.07
0.244347,-0.01,0.02,-0.07
0.259906,-0.01,0.02,-0.07
0.260619,-0.02,0.02,-0.07
0.260995,-0.02,0.02,-0.07
0.261350,-0.02,0.02,-0.08
0.261885,-0.02,0.02,-0.08
0.262231,-0.02,0.02,-0.08
0.262632,-0.02,0.01,-0.08
0.275090,-0.01,0.00,-0.08
0.275709,-0.01,-0.00,-0.08
0.276101,-0.01,-0.00,-0.08
0.276466,-0.00,-0.01,-0.08
0.276846,-0.01,-0.01,-0.08
0.277218,0.00,-0.01,-0.09
0.277913,0.00,-0.01,-0.09
0.291385,0.01,-0.02,-0.09
0.292084,0.01,-0.02,-0.09
0.292460,0.01,-0.01,-0.09
0.292825,0.02,-0.01,-0.09
0.293197,0.02,-0.00,-0.09
0.293549,0.03,0.00,-0.10
0.309990,0.03,0.01,-0.10
0.310807,0.04,0.02,-0.10
0.311222,0.04,0.03,-0.10
0.311650,0.05,0.05,-0.10
0.312037,0.05,0.07,-0.11
0.312418,0.05,0.07,-0.11
0.312778,0.05,0.08,-0.10
0.313331,0.06,0.09,-0.10
0.325233,0.06,0.10,-0.10
0.325881,0.06,0.11,-0.10
0.326195,0.06,0.12,-0.10
0.326544,0.06,0.13,-0.10
